Date,Time,Temperature F,Time_fixed,Time_fixed_dt
2025-06-17,08:05:00,75,08:05:00 AM,2025-06-17T08:05:00Z
2025-06-17,08:15:00,75,08:15:00 AM,2025-06-17T08:15:00Z
2025-06-17,08:25:00,77,08:25:00 AM,2025-06-17T08:25:00Z
2025-06-17,08:35:00,77,08:35:00 AM,2025-06-17T08:35:00Z
2025-06-17,08:45:00,77,08:45:00 AM,2025-06-17T08:45:00Z
2025-06-17,08:55:00,78,08:55:00 AM,2025-06-17T08:55:00Z
2025-06-17,09:05:00,80,09:05:00 AM,2025-06-17T09:05:00Z
2025-06-17,09:15:00,82,09:15:00 AM,2025-06-17T09:15:00Z
2025-06-17,09:25:00,80,09:25:00 AM,2025-06-17T09:25:00Z
2025-06-17,09:35:00,80,09:35:00 AM,2025-06-17T09:35:00Z
2025-06-17,09:45:00,78,09:45:00 AM,2025-06-17T09:45:00Z
2025-06-17,09:55:00,80,09:55:00 AM,2025-06-17T09:55:00Z
2025-06-18,09:15:00,77,09:15:00 AM,2025-06-18T09:15:00Z
2025-06-18,09:25:00,77,09:25:00 AM,2025-06-18T09:25:00Z
2025-06-18,09:35:00,82,09:35:00 AM,2025-06-18T09:35:00Z
2025-06-18,09:45:00,82,09:45:00 AM,2025-06-18T09:45:00Z
2025-06-18,09:55:00,86,09:55:00 AM,2025-06-18T09:55:00Z
2025-06-18,10:05:00,86,10:05:00 AM,2025-06-18T10:05:00Z
2025-06-18,10:15:00,86,10:15:00 AM,2025-06-18T10:15:00Z
2025-06-18,10:25:00,87,10:25:00 AM,2025-06-18T10:25:00Z
2025-06-18,10:35:00,87,10:35:00 AM,2025-06-18T10:35:00Z
2025-06-18,10:45:00,87,10:45:00 AM,2025-06-18T10:45:00Z
2025-06-18,10:55:00,89,10:55:00 AM,2025-06-18T10:55:00Z
2025-06-18,11:05:00,87,11:05:00 AM,2025-06-18T11:05:00Z
2025-06-18,11:15:00,87,11:15:00 AM,2025-06-18T11:15:00Z
2025-06-18,11:25:00,87,11:25:00 AM,2025-06-18T11:25:00Z
2025-06-18,11:35:00,87,11:35:00 AM,2025-06-18T11:35:00Z
2025-06-18,11:45:00,89,11:45:00 AM,2025-06-18T11:45:00Z
2025-06-18,11:55:00,89,11:55:00 AM,2025-06-18T11:55:00Z
2025-06-18,12:05:00,93,12:05:00 PM,2025-06-18T12:05:00Z
2025-06-18,12:15:00,93,12:15:00 PM,2025-06-18T12:15:00Z
2025-06-18,12:25:00,93,12:25:00 PM,2025-06-18T12:25:00Z
2025-06-18,12:35:00,95,12:35:00 PM,2025-06-18T12:35:00Z
2025-06-18,12:45:00,93,12:45:00 PM,2025-06-18T12:45:00Z
2025-06-18,12:55:00,95,12:55:00 PM,2025-06-18T12:55:00Z
2025-06-18,01:05:00,93,01:05:00 PM,2025-06-18T13:05:00Z
2025-06-23,09:25:00,77,09:25:00 AM,2025-06-23T09:25:00Z
2025-06-23,09:35:00,82,09:35:00 AM,2025-06-23T09:35:00Z
2025-06-23,09:45:00,84,09:45:00 AM,2025-06-23T09:45:00Z
2025-06-23,09:55:00,84,09:55:00 AM,2025-06-23T09:55:00Z
2025-06-23,10:05:00,84,10:05:00 AM,2025-06-23T10:05:00Z
2025-06-23,10:15:00,82,10:15:00 AM,2025-06-23T10:15:00Z
2025-06-23,10:25:00,82,10:25:00 AM,2025-06-23T10:25:00Z
2025-06-23,10:35:00,82,10:35:00 AM,2025-06-23T10:35:00Z
2025-06-23,10:45:00,82,10:45:00 AM,2025-06-23T10:45:00Z
2025-06-23,10:55:00,82,10:55:00 AM,2025-06-23T10:55:00Z
2025-06-23,11:05:00,82,11:05:00 AM,2025-06-23T11:05:00Z
2025-06-23,11:15:00,86,11:15:00 AM,2025-06-23T11:15:00Z
2025-06-23,11:25:00,86,11:25:00 AM,2025-06-23T11:25:00Z
2025-06-23,11:35:00,91,11:35:00 AM,2025-06-23T11:35:00Z
2025-06-23,11:45:00,93,11:45:00 AM,2025-06-23T11:45:00Z
2025-06-23,11:55:00,93,11:55:00 AM,2025-06-23T11:55:00Z
2025-06-23,12:05:00,93,12:05:00 PM,2025-06-23T12:05:00Z
2025-06-23,12:15:00,95,12:15:00 PM,2025-06-23T12:15:00Z
2025-06-23,12:25:00,95,12:25:00 PM,2025-06-23T12:25:00Z
2025-06-23,12:35:00,95,12:35:00 PM,2025-06-23T12:35:00Z
2025-06-23,12:45:00,95,12:45:00 PM,2025-06-23T12:45:00Z
2025-06-23,12:55:00,95,12:55:00 PM,2025-06-23T12:55:00Z
2025-06-23,01:05:00,93,01:05:00 PM,2025-06-23T13:05:00Z
2025-06-23,01:15:00,93,01:15:00 PM,2025-06-23T13:15:00Z
2025-06-23,01:25:00,94,01:25:00 PM,2025-06-23T13:25:00Z
2025-06-23,01:35:00,95,01:35:00 PM,2025-06-23T13:35:00Z
2025-06-24,10:05:00,71,10:05:00 AM,2025-06-24T10:05:00Z
2025-06-24,10:15:00,73,10:15:00 AM,2025-06-24T10:15:00Z
2025-06-24,10:25:00,73,10:25:00 AM,2025-06-24T10:25:00Z
2025-06-24,10:35:00,71,10:35:00 AM,2025-06-24T10:35:00Z
2025-06-24,10:45:00,73,10:45:00 AM,2025-06-24T10:45:00Z
2025-06-24,10:55:00,75,10:55:00 AM,2025-06-24T10:55:00Z
