Date,Time Entered,Time Exited,time_en_with_ampm,time_ex_with_ampm,time_en_fixed,time_ex_fixed,time_ex_datetime,time_ex_24hr,exit_datetime,date_only
2025-06-16,N/A,10:30,NA,10:30 AM,NA,10:30:00,2025-06-16T10:30:00Z,10:30:00,2025-06-16T10:30:00Z,2025-06-16
2025-06-16,10:53,11:01,10:53 AM,11:01 AM,10:53:00,11:01:00,2025-06-16T11:01:00Z,11:01:00,2025-06-16T11:01:00Z,2025-06-16
2025-06-16,11:52,11:59,11:52 AM,11:59 AM,11:52:00,11:59:00,2025-06-16T11:59:00Z,11:59:00,2025-06-16T11:59:00Z,2025-06-16
2025-06-16,12:26,12:29,12:26 PM,12:29 PM,12:26:00,12:29:00,2025-06-16T12:29:00Z,12:29:00,2025-06-16T12:29:00Z,2025-06-16
2025-06-16,1:09,1:19,1:09 PM,1:19 PM,13:09:00,13:19:00,2025-06-16T13:19:00Z,13:19:00,2025-06-16T13:19:00Z,2025-06-16
2025-06-16,N/A,10:41,NA,10:41 AM,NA,10:41:00,2025-06-16T10:41:00Z,10:41:00,2025-06-16T10:41:00Z,2025-06-16
2025-06-16,12:38,12:42,12:38 PM,12:42 PM,12:38:00,12:42:00,2025-06-16T12:42:00Z,12:42:00,2025-06-16T12:42:00Z,2025-06-16
2025-06-16,N/A,10:41,NA,10:41 AM,NA,10:41:00,2025-06-16T10:41:00Z,10:41:00,2025-06-16T10:41:00Z,2025-06-16
2025-06-16,N/A,10:51,NA,10:51 AM,NA,10:51:00,2025-06-16T10:51:00Z,10:51:00,2025-06-16T10:51:00Z,2025-06-16
2025-06-16,12:24,12:44,12:24 PM,12:44 PM,12:24:00,12:44:00,2025-06-16T12:44:00Z,12:44:00,2025-06-16T12:44:00Z,2025-06-16
2025-06-16,1:24,1:31,1:24 PM,1:31 PM,13:24:00,13:31:00,2025-06-16T13:31:00Z,13:31:00,2025-06-16T13:31:00Z,2025-06-16
2025-06-16,N/A,11:07,NA,11:07 AM,NA,11:07:00,2025-06-16T11:07:00Z,11:07:00,2025-06-16T11:07:00Z,2025-06-16
2025-06-16,11:20,11:49,11:20 AM,11:49 AM,11:20:00,11:49:00,2025-06-16T11:49:00Z,11:49:00,2025-06-16T11:49:00Z,2025-06-16
2025-06-16,N/A,11:13,NA,11:13 AM,NA,11:13:00,2025-06-16T11:13:00Z,11:13:00,2025-06-16T11:13:00Z,2025-06-16
2025-06-16,11:44,12:05,11:44 AM,12:05 PM,11:44:00,12:05:00,2025-06-16T12:05:00Z,12:05:00,2025-06-16T12:05:00Z,2025-06-16
2025-06-16,12:19,12:59,12:19 PM,12:59 PM,12:19:00,12:59:00,2025-06-16T12:59:00Z,12:59:00,2025-06-16T12:59:00Z,2025-06-16
2025-06-16,1:00,1:02,1:00 PM,1:02 PM,13:00:00,13:02:00,2025-06-16T13:02:00Z,13:02:00,2025-06-16T13:02:00Z,2025-06-16
2025-06-16,N/A,11:21,NA,11:21 AM,NA,11:21:00,2025-06-16T11:21:00Z,11:21:00,2025-06-16T11:21:00Z,2025-06-16
2025-06-16,11:50,11:51,11:50 AM,11:51 AM,11:50:00,11:51:00,2025-06-16T11:51:00Z,11:51:00,2025-06-16T11:51:00Z,2025-06-16
2025-06-16,11:51,11:54,11:51 AM,11:54 AM,11:51:00,11:54:00,2025-06-16T11:54:00Z,11:54:00,2025-06-16T11:54:00Z,2025-06-16
2025-06-16,12:21,12:57,12:21 PM,12:57 PM,12:21:00,12:57:00,2025-06-16T12:57:00Z,12:57:00,2025-06-16T12:57:00Z,2025-06-16
2025-06-16,1:10,1:14,1:10 PM,1:14 PM,13:10:00,13:14:00,2025-06-16T13:14:00Z,13:14:00,2025-06-16T13:14:00Z,2025-06-16
2025-06-16,N/A,11:24,NA,11:24 AM,NA,11:24:00,2025-06-16T11:24:00Z,11:24:00,2025-06-16T11:24:00Z,2025-06-16
2025-06-17,N/A,9:45,NA,9:45 AM,NA,09:45:00,2025-06-17T09:45:00Z,09:45:00,2025-06-17T09:45:00Z,2025-06-17
2025-06-17,N/A,9:22,NA,9:22 AM,NA,09:22:00,2025-06-17T09:22:00Z,09:22:00,2025-06-17T09:22:00Z,2025-06-17
2025-06-17,N/A,9:10,NA,9:10 AM,NA,09:10:00,2025-06-17T09:10:00Z,09:10:00,2025-06-17T09:10:00Z,2025-06-17
2025-06-17,N/A,8:50,NA,8:50 AM,NA,08:50:00,2025-06-17T08:50:00Z,08:50:00,2025-06-17T08:50:00Z,2025-06-17
2025-06-17,N/A,9:55,NA,9:55 AM,NA,09:55:00,2025-06-17T09:55:00Z,09:55:00,2025-06-17T09:55:00Z,2025-06-17
2025-06-18,12:50,12:53,12:50 PM,12:53 PM,12:50:00,12:53:00,2025-06-18T12:53:00Z,12:53:00,2025-06-18T12:53:00Z,2025-06-18
2025-06-18,10:45,11:22,10:45 AM,11:22 AM,10:45:00,11:22:00,2025-06-18T11:22:00Z,11:22:00,2025-06-18T11:22:00Z,2025-06-18
2025-06-18,12:04,12:13,12:04 PM,12:13 PM,12:04:00,12:13:00,2025-06-18T12:13:00Z,12:13:00,2025-06-18T12:13:00Z,2025-06-18
2025-06-18,11:36,11:39,11:36 AM,11:39 AM,11:36:00,11:39:00,2025-06-18T11:39:00Z,11:39:00,2025-06-18T11:39:00Z,2025-06-18
2025-06-18,11:55,11:58,11:55 AM,11:58 AM,11:55:00,11:58:00,2025-06-18T11:58:00Z,11:58:00,2025-06-18T11:58:00Z,2025-06-18
2025-06-18,12:26,12:30,12:26 PM,12:30 PM,12:26:00,12:30:00,2025-06-18T12:30:00Z,12:30:00,2025-06-18T12:30:00Z,2025-06-18
2025-06-18,12:43,12:46,12:43 PM,12:46 PM,12:43:00,12:46:00,2025-06-18T12:46:00Z,12:46:00,2025-06-18T12:46:00Z,2025-06-18
