Date,Bee_color,Nest_Number,Time_Entered,Time_Exited,Time_Entered_fixed,Time_Exited_fixed,Time_Entered_dt,Time_Exited_dt,Duration_minutes,ground_temperature_F
2025-06-16,purple,4,10:53,11:01,10:53 AM,11:01 AM,2025-06-16T10:53:00Z,2025-06-16T11:01:00Z,8,NA
2025-06-16,purple,4,11:52,11:59,11:52 AM,11:59 AM,2025-06-16T11:52:00Z,2025-06-16T11:59:00Z,7,NA
2025-06-16,purple,4,12:26,12:29,12:26 PM,12:29 PM,2025-06-16T12:26:00Z,2025-06-16T12:29:00Z,3,NA
2025-06-16,purple,4,1:09,1:19,1:09 PM,1:19 PM,2025-06-16T13:09:00Z,2025-06-16T13:19:00Z,10,NA
2025-06-16,orange,7,12:38,12:42,12:38 PM,12:42 PM,2025-06-16T12:38:00Z,2025-06-16T12:42:00Z,4,NA
2025-06-16,blue,13,12:24,12:44,12:24 PM,12:44 PM,2025-06-16T12:24:00Z,2025-06-16T12:44:00Z,20,NA
2025-06-16,blue,13,1:24,1:31,1:24 PM,1:31 PM,2025-06-16T13:24:00Z,2025-06-16T13:31:00Z,7,NA
2025-06-16,yellow,12,11:20,11:49,11:20 AM,11:49 AM,2025-06-16T11:20:00Z,2025-06-16T11:49:00Z,29,NA
2025-06-16,OP,10,11:44,12:05,11:44 AM,12:05 PM,2025-06-16T11:44:00Z,2025-06-16T12:05:00Z,21,NA
2025-06-16,OP,8,12:19,12:59,12:19 PM,12:59 PM,2025-06-16T12:19:00Z,2025-06-16T12:59:00Z,40,NA
2025-06-16,OP,5,1:00,1:02,1:00 PM,1:02 PM,2025-06-16T13:00:00Z,2025-06-16T13:02:00Z,2,NA
2025-06-16,BG,2,11:50,11:51,11:50 AM,11:51 AM,2025-06-16T11:50:00Z,2025-06-16T11:51:00Z,1,NA
2025-06-16,BG,2,11:51,11:54,11:51 AM,11:54 AM,2025-06-16T11:51:00Z,2025-06-16T11:54:00Z,3,NA
2025-06-16,BG,3,12:21,12:57,12:21 PM,12:57 PM,2025-06-16T12:21:00Z,2025-06-16T12:57:00Z,36,NA
2025-06-16,BG,6,1:10,1:14,1:10 PM,1:14 PM,2025-06-16T13:10:00Z,2025-06-16T13:14:00Z,4,NA
2025-06-18,green,7,12:50,12:53,12:50 PM,12:53 PM,2025-06-18T12:50:00Z,2025-06-18T12:53:00Z,3,95
2025-06-18,orange,24,10:45,11:22,10:45 AM,11:22 AM,2025-06-18T10:45:00Z,2025-06-18T11:22:00Z,37,87
2025-06-18,orange,24,12:04,12:13,12:04 PM,12:13 PM,2025-06-18T12:04:00Z,2025-06-18T12:13:00Z,9,93
2025-06-18,white,15,11:36,11:39,11:36 AM,11:39 AM,2025-06-18T11:36:00Z,2025-06-18T11:39:00Z,3,87
2025-06-18,white,15,11:55,11:58,11:55 AM,11:58 AM,2025-06-18T11:55:00Z,2025-06-18T11:58:00Z,3,89
2025-06-18,white,15,12:26,12:30,12:26 PM,12:30 PM,2025-06-18T12:26:00Z,2025-06-18T12:30:00Z,4,93
2025-06-18,white,15,12:43,12:46,12:43 PM,12:46 PM,2025-06-18T12:43:00Z,2025-06-18T12:46:00Z,3,93
2025-06-18,white,15,1:03,1:05,1:03 PM,1:05 PM,2025-06-18T13:03:00Z,2025-06-18T13:05:00Z,2,93
2025-06-18,yellow,21,10:05,10:09,10:05 AM,10:09 AM,2025-06-18T10:05:00Z,2025-06-18T10:09:00Z,4,86
2025-06-18,BG,18,10:08,10:08,10:08 AM,10:08 AM,2025-06-18T10:08:00Z,2025-06-18T10:08:00Z,0,86
2025-06-18,GP,12,9:43,9:47,9:43 AM,9:47 AM,2025-06-18T09:43:00Z,2025-06-18T09:47:00Z,4,82
2025-06-18,GP,12,12:22,12:23,12:22 PM,12:23 PM,2025-06-18T12:22:00Z,2025-06-18T12:23:00Z,1,93
2025-06-18,Pi/Y,1,10:34,10:45,10:34 AM,10:45 AM,2025-06-18T10:34:00Z,2025-06-18T10:45:00Z,11,87
2025-06-18,BY,23,10:06,10:08,10:06 AM,10:08 AM,2025-06-18T10:06:00Z,2025-06-18T10:08:00Z,2,86
2025-06-18,BY,23,10:11,10:14,10:11 AM,10:14 AM,2025-06-18T10:11:00Z,2025-06-18T10:14:00Z,3,86
2025-06-18,BY,22,11:42,11:44,11:42 AM,11:44 AM,2025-06-18T11:42:00Z,2025-06-18T11:44:00Z,2,89
2025-06-18,BY,22,12:22,12:26,12:22 PM,12:26 PM,2025-06-18T12:22:00Z,2025-06-18T12:26:00Z,4,93
2025-06-18,G/Pi,20,10:12,10:34,10:12 AM,10:34 AM,2025-06-18T10:12:00Z,2025-06-18T10:34:00Z,22,87
2025-06-18,GS,11,9:08,10:13,9:08 AM,10:13 AM,2025-06-18T09:08:00Z,2025-06-18T10:13:00Z,65,86
2025-06-18,BP,25,10:50,11:02,10:50 AM,11:02 AM,2025-06-18T10:50:00Z,2025-06-18T11:02:00Z,12,87
2025-06-18,BP,25,11:39,12:28,11:39 AM,12:28 PM,2025-06-18T11:39:00Z,2025-06-18T12:28:00Z,49,93
2025-06-18,BP,25,12:46,12:58,12:46 PM,12:58 PM,2025-06-18T12:46:00Z,2025-06-18T12:58:00Z,12,95
2025-06-18,PY,26,11:02,11:04,11:02 AM,11:04 AM,2025-06-18T11:02:00Z,2025-06-18T11:04:00Z,2,87
2025-06-18,PY,29,12:16,12:18,12:16 PM,12:18 PM,2025-06-18T12:16:00Z,2025-06-18T12:18:00Z,2,93
2025-06-18,PY,29,12:37,12:43,12:37 PM,12:43 PM,2025-06-18T12:37:00Z,2025-06-18T12:43:00Z,6,93
2025-06-23,O/Pi,28,10:00,10:06,10:00 AM,10:06 AM,2025-06-23T10:00:00Z,2025-06-23T10:06:00Z,6,84
2025-06-23,B/Au,30,12:11,12:17,12:11 PM,12:17 PM,2025-06-23T12:11:00Z,2025-06-23T12:17:00Z,6,95
2025-06-23,B/Au,30,12:49,12:57,12:49 PM,12:57 PM,2025-06-23T12:49:00Z,2025-06-23T12:57:00Z,8,95
2025-06-23,OW,13,9:40,10:15,9:40 AM,10:15 AM,2025-06-23T09:40:00Z,2025-06-23T10:15:00Z,35,82
2025-06-23,OW,13,12:13,12:18,12:13 PM,12:18 PM,2025-06-23T12:13:00Z,2025-06-23T12:18:00Z,5,95
2025-06-23,OW,13,1:10,1:16,1:10 PM,1:16 PM,2025-06-23T13:10:00Z,2025-06-23T13:16:00Z,6,93
2025-06-23,unknown,19,9:24,9:30,9:24 AM,9:30 AM,2025-06-23T09:24:00Z,2025-06-23T09:30:00Z,6,77
