datetime,ground_temperature_F,date_only
2025-06-17T08:05:00Z,75,2025-06-17
2025-06-17T08:15:00Z,75,2025-06-17
2025-06-17T08:25:00Z,77,2025-06-17
2025-06-17T08:35:00Z,77,2025-06-17
2025-06-17T08:45:00Z,77,2025-06-17
2025-06-17T08:55:00Z,78,2025-06-17
2025-06-17T09:05:00Z,80,2025-06-17
2025-06-17T09:15:00Z,82,2025-06-17
2025-06-17T09:25:00Z,80,2025-06-17
2025-06-17T09:35:00Z,80,2025-06-17
2025-06-17T09:45:00Z,78,2025-06-17
2025-06-17T09:55:00Z,80,2025-06-17
2025-06-18T09:15:00Z,77,2025-06-18
2025-06-18T09:25:00Z,77,2025-06-18
2025-06-18T09:35:00Z,82,2025-06-18
2025-06-18T09:45:00Z,82,2025-06-18
2025-06-18T09:55:00Z,86,2025-06-18
2025-06-18T10:05:00Z,86,2025-06-18
2025-06-18T10:15:00Z,86,2025-06-18
2025-06-18T10:25:00Z,87,2025-06-18
2025-06-18T10:35:00Z,87,2025-06-18
2025-06-18T10:45:00Z,87,2025-06-18
2025-06-18T10:55:00Z,89,2025-06-18
2025-06-18T11:05:00Z,87,2025-06-18
2025-06-18T11:15:00Z,87,2025-06-18
2025-06-18T11:25:00Z,87,2025-06-18
2025-06-18T11:35:00Z,87,2025-06-18
2025-06-18T11:45:00Z,89,2025-06-18
2025-06-18T11:55:00Z,89,2025-06-18
2025-06-18T12:05:00Z,93,2025-06-18
2025-06-18T12:15:00Z,93,2025-06-18
2025-06-18T12:25:00Z,93,2025-06-18
2025-06-18T12:35:00Z,95,2025-06-18
2025-06-18T12:45:00Z,93,2025-06-18
2025-06-18T12:55:00Z,95,2025-06-18
2025-06-18T13:05:00Z,93,2025-06-18
2025-06-23T09:25:00Z,77,2025-06-23
2025-06-23T09:35:00Z,82,2025-06-23
2025-06-23T09:45:00Z,84,2025-06-23
2025-06-23T09:55:00Z,84,2025-06-23
2025-06-23T10:05:00Z,84,2025-06-23
2025-06-23T10:15:00Z,82,2025-06-23
2025-06-23T10:25:00Z,82,2025-06-23
2025-06-23T10:35:00Z,82,2025-06-23
2025-06-23T10:45:00Z,82,2025-06-23
2025-06-23T10:55:00Z,82,2025-06-23
2025-06-23T11:05:00Z,82,2025-06-23
2025-06-23T11:15:00Z,86,2025-06-23
2025-06-23T11:25:00Z,86,2025-06-23
2025-06-23T11:35:00Z,91,2025-06-23
2025-06-23T11:45:00Z,93,2025-06-23
2025-06-23T11:55:00Z,93,2025-06-23
2025-06-23T12:05:00Z,93,2025-06-23
2025-06-23T12:15:00Z,95,2025-06-23
2025-06-23T12:25:00Z,95,2025-06-23
2025-06-23T12:35:00Z,95,2025-06-23
2025-06-23T12:45:00Z,95,2025-06-23
2025-06-23T12:55:00Z,95,2025-06-23
2025-06-23T13:05:00Z,93,2025-06-23
2025-06-23T13:15:00Z,93,2025-06-23
2025-06-23T13:25:00Z,94,2025-06-23
2025-06-23T13:35:00Z,95,2025-06-23
2025-06-24T10:05:00Z,71,2025-06-24
2025-06-24T10:15:00Z,73,2025-06-24
2025-06-24T10:25:00Z,73,2025-06-24
2025-06-24T10:35:00Z,71,2025-06-24
2025-06-24T10:45:00Z,73,2025-06-24
2025-06-24T10:55:00Z,75,2025-06-24
2025-06-24T11:05:00Z,77,2025-06-24
2025-06-24T11:15:00Z,77,2025-06-24
2025-06-24T11:25:00Z,77,2025-06-24
2025-06-24T11:35:00Z,78,2025-06-24
2025-06-24T11:45:00Z,78,2025-06-24
2025-06-24T11:55:00Z,77,2025-06-24
2025-06-24T12:05:00Z,77,2025-06-24
2025-06-24T12:15:00Z,77,2025-06-24
2025-06-24T12:25:00Z,77,2025-06-24
2025-06-24T12:35:00Z,78,2025-06-24
2025-06-24T12:45:00Z,77,2025-06-24
2025-06-24T12:55:00Z,77,2025-06-24
2025-06-24T13:05:00Z,78,2025-06-24
2025-06-24T13:15:00Z,78,2025-06-24
2025-06-24T13:25:00Z,78,2025-06-24
2025-06-25T10:35:00Z,69,2025-06-25
2025-06-25T10:45:00Z,73,2025-06-25
2025-06-25T10:55:00Z,71,2025-06-25
2025-06-25T11:05:00Z,69,2025-06-25
2025-06-25T11:15:00Z,71,2025-06-25
2025-06-25T11:25:00Z,71,2025-06-25
2025-06-25T11:35:00Z,71,2025-06-25
2025-06-25T11:45:00Z,73,2025-06-25
2025-06-25T11:55:00Z,73,2025-06-25
2025-06-25T12:05:00Z,73,2025-06-25
2025-06-25T12:15:00Z,75,2025-06-25
2025-06-25T12:25:00Z,77,2025-06-25
2025-06-25T12:35:00Z,77,2025-06-25
2025-06-25T12:45:00Z,79,2025-06-25
2025-06-25T12:55:00Z,80,2025-06-25
2025-06-25T13:05:00Z,80,2025-06-25
2025-06-25T13:15:00Z,82,2025-06-25
2025-06-25T13:25:00Z,84,2025-06-25
2025-06-25T13:35:00Z,86,2025-06-25
2025-06-25T13:45:00Z,86,2025-06-25
2025-06-25T13:55:00Z,87,2025-06-25
2025-06-25T14:05:00Z,87,2025-06-25
2025-06-25T14:15:00Z,87,2025-06-25
2025-06-26T11:45:00Z,73,2025-06-26
2025-06-26T11:55:00Z,77,2025-06-26
2025-06-26T12:05:00Z,77,2025-06-26
2025-06-26T12:15:00Z,78,2025-06-26
2025-06-26T12:25:00Z,80,2025-06-26
2025-06-26T12:35:00Z,82,2025-06-26
2025-06-26T12:45:00Z,82,2025-06-26
2025-06-26T12:55:00Z,82,2025-06-26
2025-06-26T13:05:00Z,82,2025-06-26
2025-06-26T13:15:00Z,84,2025-06-26
2025-06-26T13:25:00Z,84,2025-06-26
2025-06-26T13:35:00Z,84,2025-06-26
2025-06-26T13:45:00Z,84,2025-06-26
2025-06-26T13:55:00Z,86,2025-06-26
2025-06-26T14:05:00Z,87,2025-06-26
2025-06-26T14:15:00Z,87,2025-06-26
2025-06-30T10:35:00Z,75,2025-06-30
2025-06-30T10:45:00Z,80,2025-06-30
2025-06-30T10:55:00Z,75,2025-06-30
2025-06-30T11:05:00Z,75,2025-06-30
2025-06-30T11:15:00Z,75,2025-06-30
2025-06-30T11:25:00Z,75,2025-06-30
2025-06-30T11:35:00Z,77,2025-06-30
2025-06-30T11:45:00Z,77,2025-06-30
