Date,Time Entered,Time Exited,bee_exit_datetime,datetime_ground_temp,ground_temperature_F,time_diff_secs,station,ws_datetime,tmpf,relh,skyc1,ws_time_diff_secs
2025-06-16,N/A,10:30,2025-06-16T10:30:00Z,NA,NA,1380,SBA,2025-06-16T10:53:00Z,68,67.89,CLR,1380
2025-06-16,N/A,10:41,2025-06-16T10:41:00Z,NA,NA,720,SBA,2025-06-16T10:53:00Z,68,67.89,CLR,720
2025-06-16,N/A,10:51,2025-06-16T10:51:00Z,NA,NA,120,SBA,2025-06-16T10:53:00Z,68,67.89,CLR,120
2025-06-16,10:53,11:01,2025-06-16T11:01:00Z,NA,NA,480,SBA,2025-06-16T10:53:00Z,68,67.89,CLR,480
2025-06-16,N/A,11:07,2025-06-16T11:07:00Z,NA,NA,840,SBA,2025-06-16T10:53:00Z,68,67.89,CLR,840
2025-06-16,N/A,11:13,2025-06-16T11:13:00Z,NA,NA,1200,SBA,2025-06-16T10:53:00Z,68,67.89,CLR,1200
2025-06-16,N/A,11:21,2025-06-16T11:21:00Z,NA,NA,1680,SBA,2025-06-16T10:53:00Z,68,67.89,CLR,1680
2025-06-16,N/A,11:24,2025-06-16T11:24:00Z,NA,NA,1740,SBA,2025-06-16T11:53:00Z,69,65.6,CLR,1740
2025-06-16,11:20,11:49,2025-06-16T11:49:00Z,NA,NA,240,SBA,2025-06-16T11:53:00Z,69,65.6,CLR,240
2025-06-16,11:50,11:51,2025-06-16T11:51:00Z,NA,NA,120,SBA,2025-06-16T11:53:00Z,69,65.6,CLR,120
2025-06-16,11:51,11:54,2025-06-16T11:54:00Z,NA,NA,60,SBA,2025-06-16T11:53:00Z,69,65.6,CLR,60
2025-06-16,11:52,11:59,2025-06-16T11:59:00Z,NA,NA,360,SBA,2025-06-16T11:53:00Z,69,65.6,CLR,360
2025-06-16,11:44,12:05,2025-06-16T12:05:00Z,NA,NA,720,SBA,2025-06-16T11:53:00Z,69,65.6,CLR,720
2025-06-16,12:26,12:29,2025-06-16T12:29:00Z,NA,NA,1440,SBA,2025-06-16T12:53:00Z,72,61.41,CLR,1440
2025-06-16,12:38,12:42,2025-06-16T12:42:00Z,NA,NA,660,SBA,2025-06-16T12:53:00Z,72,61.41,CLR,660
2025-06-16,12:24,12:44,2025-06-16T12:44:00Z,NA,NA,540,SBA,2025-06-16T12:53:00Z,72,61.41,CLR,540
2025-06-16,12:21,12:57,2025-06-16T12:57:00Z,NA,NA,240,SBA,2025-06-16T12:53:00Z,72,61.41,CLR,240
2025-06-16,12:19,12:59,2025-06-16T12:59:00Z,NA,NA,360,SBA,2025-06-16T12:53:00Z,72,61.41,CLR,360
2025-06-16,1:00,1:02,2025-06-16T13:02:00Z,NA,NA,540,SBA,2025-06-16T12:53:00Z,72,61.41,CLR,540
2025-06-16,1:10,1:14,2025-06-16T13:14:00Z,NA,NA,1260,SBA,2025-06-16T12:53:00Z,72,61.41,CLR,1260
2025-06-16,1:09,1:19,2025-06-16T13:19:00Z,NA,NA,1560,SBA,2025-06-16T12:53:00Z,72,61.41,CLR,1560
2025-06-16,1:24,1:31,2025-06-16T13:31:00Z,NA,NA,1320,SBA,2025-06-16T13:53:00Z,70,65.72,CLR,1320
2025-06-17,N/A,8:50,2025-06-17T08:50:00Z,2025-06-17T08:45:00Z,77,180,SBA,2025-06-17T08:53:00Z,67,75.5,CLR,180
2025-06-17,N/A,9:10,2025-06-17T09:10:00Z,2025-06-17T09:05:00Z,80,1020,SBA,2025-06-17T08:53:00Z,67,75.5,CLR,1020
2025-06-17,N/A,9:22,2025-06-17T09:22:00Z,2025-06-17T09:25:00Z,80,1740,SBA,2025-06-17T08:53:00Z,67,75.5,CLR,1740
2025-06-17,N/A,9:45,2025-06-17T09:45:00Z,2025-06-17T09:45:00Z,78,480,SBA,2025-06-17T09:53:00Z,69,68.01,CLR,480
2025-06-17,N/A,9:55,2025-06-17T09:55:00Z,2025-06-17T09:55:00Z,80,120,SBA,2025-06-17T09:53:00Z,69,68.01,CLR,120
2025-06-18,N/A,9:10,2025-06-18T09:10:00Z,2025-06-18T09:15:00Z,77,1020,SBA,2025-06-18T08:53:00Z,66,75.41,CLR,1020
2025-06-18,N/A,9:14,2025-06-18T09:14:00Z,2025-06-18T09:15:00Z,77,1260,SBA,2025-06-18T08:53:00Z,66,75.41,CLR,1260
2025-06-18,N/A,9:17,2025-06-18T09:17:00Z,2025-06-18T09:15:00Z,77,1440,SBA,2025-06-18T08:53:00Z,66,75.41,CLR,1440
2025-06-18,N/A,9:20,2025-06-18T09:20:00Z,2025-06-18T09:15:00Z,77,1620,SBA,2025-06-18T08:53:00Z,66,75.41,CLR,1620
2025-06-18,N/A,9:26,2025-06-18T09:26:00Z,2025-06-18T09:25:00Z,77,1620,SBA,2025-06-18T09:53:00Z,66,75.41,CLR,1620
