station,valid,tmpf,relh,skyc1
SBA,2025-06-10T00:53:00Z,59,93.07,OVC
SBA,2025-06-10T01:11:00Z,59,93.07,SCT
SBA,2025-06-10T01:53:00Z,58,93.04,CLR
SBA,2025-06-10T02:08:00Z,57,93.01,SCT
SBA,2025-06-10T02:16:00Z,57,93.01,BKN
SBA,2025-06-10T02:53:00Z,59,93.07,OVC
SBA,2025-06-10T03:53:00Z,59,93.07,OVC
SBA,2025-06-10T04:53:00Z,59,93.07,OVC
SBA,2025-06-10T05:53:00Z,59,93.07,OVC
SBA,2025-06-10T06:53:00Z,58,93.04,OVC
SBA,2025-06-10T07:53:00Z,59,93.07,OVC
SBA,2025-06-10T08:53:00Z,59,93.07,OVC
SBA,2025-06-10T09:53:00Z,61,86.68,OVC
SBA,2025-06-10T10:53:00Z,62,83.67,OVC
SBA,2025-06-10T11:53:00Z,64,77.99,OVC
SBA,2025-06-10T12:53:00Z,66,75.41,OVC
SBA,2025-06-10T13:53:00Z,67,72.85,FEW
SBA,2025-06-10T14:53:00Z,67,72.85,SCT
SBA,2025-06-10T15:53:00Z,67,72.85,SCT
SBA,2025-06-10T16:53:00Z,66,70.16,FEW
SBA,2025-06-10T17:53:00Z,68,67.89,CLR
SBA,2025-06-10T18:53:00Z,64,80.85,CLR
SBA,2025-06-10T19:53:00Z,63,80.77,CLR
SBA,2025-06-10T20:53:00Z,62,86.73,CLR
SBA,2025-06-10T21:53:00Z,62,86.73,CLR
SBA,2025-06-10T22:53:00Z,61,86.68,CLR
SBA,2025-06-10T23:53:00Z,59,93.07,CLR
SBA,2025-06-11T00:53:00Z,59,93.07,CLR
SBA,2025-06-11T01:53:00Z,57,89.68,CLR
SBA,2025-06-11T02:00:00Z,57,93.01,FEW
SBA,2025-06-11T02:43:00Z,59,93.07,BKN
SBA,2025-06-11T02:53:00Z,59,93.07,SCT
SBA,2025-06-11T03:53:00Z,57,93.01,CLR
SBA,2025-06-11T04:36:00Z,56,92.98,SCT
SBA,2025-06-11T04:45:00Z,56,92.98,BKN
SBA,2025-06-11T04:53:00Z,57,93.01,BKN
SBA,2025-06-11T05:53:00Z,58,93.04,OVC
SBA,2025-06-11T06:53:00Z,60,89.81,OVC
SBA,2025-06-11T07:53:00Z,60,93.1,OVC
SBA,2025-06-11T08:53:00Z,61,89.85,OVC
SBA,2025-06-11T09:53:00Z,61,89.85,OVC
SBA,2025-06-11T10:53:00Z,65,78.08,OVC
SBA,2025-06-11T11:53:00Z,66,72.74,FEW
SBA,2025-06-11T12:53:00Z,65,78.08,FEW
SBA,2025-06-11T13:53:00Z,66,75.41,SCT
SBA,2025-06-11T14:53:00Z,65,78.08,SCT
SBA,2025-06-11T15:53:00Z,66,75.41,CLR
SBA,2025-06-11T16:53:00Z,66,72.74,CLR
SBA,2025-06-11T17:53:00Z,65,75.32,CLR
SBA,2025-06-11T18:53:00Z,64,80.85,CLR
SBA,2025-06-11T19:53:00Z,62,86.73,CLR
SBA,2025-06-11T20:53:00Z,61,89.85,CLR
SBA,2025-06-11T21:53:00Z,60,86.62,CLR
