station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
SBA,2025-06-10 00:53,-119.8436,34.4261,3.00,59.00,57.00,93.07,80.00,8.00,0.00,29.92,1013.20,8.00,null,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,59.00,KSBA 100753Z AUTO 08008KT 8SM OVC006 15/14 A2992 RMK AO2 SLP132 T01500139 401940150 $,null
SBA,2025-06-10 01:11,-119.8436,34.4261,3.00,59.00,57.00,93.07,80.00,7.00,0.00,29.92,null,8.00,null,SCT,null,null,null,500.00,null,null,null,null,null,null,null,null,null,null,59.00,KSBA 100811Z AUTO 08007KT 8SM SCT005 15/14 A2992 RMK AO2 T01500139 $,null
SBA,2025-06-10 01:53,-119.8436,34.4261,3.00,58.00,56.00,93.04,0.00,0.00,0.00,29.92,1013.00,8.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,58.00,KSBA 100853Z AUTO 00000KT 8SM CLR 14/13 A2992 RMK AO2 SLP130 T01440133 50001 $,null
SBA,2025-06-10 02:08,-119.8436,34.4261,3.00,57.00,55.00,93.01,300.00,3.00,0.00,29.92,null,7.00,null,SCT,null,null,null,900.00,null,null,null,null,null,null,null,null,null,null,57.00,KSBA 100908Z AUTO 30003KT 7SM SCT009 14/13 A2992 RMK AO2 T01390128 $,null
SBA,2025-06-10 02:16,-119.8436,34.4261,3.00,57.00,55.00,93.01,0.00,0.00,0.00,29.91,null,8.00,null,BKN,null,null,null,900.00,null,null,null,null,null,null,null,null,null,null,57.00,KSBA 100916Z AUTO 00000KT 8SM BKN009 14/13 A2991 RMK AO2 T01390128 $,null
SBA,2025-06-10 02:53,-119.8436,34.4261,3.00,59.00,57.00,93.07,0.00,0.00,0.00,29.91,1012.90,9.00,null,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,59.00,KSBA 100953Z AUTO 00000KT 9SM OVC006 15/14 A2991 RMK AO2 SLP129 T01500139 $,null
SBA,2025-06-10 03:53,-119.8436,34.4261,3.00,59.00,57.00,93.07,0.00,0.00,0.00,29.92,1013.10,9.00,null,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,59.00,KSBA 101053Z AUTO 00000KT 9SM OVC006 15/14 A2992 RMK AO2 SLP131 T01500139 $,null
SBA,2025-06-10 04:53,-119.8436,34.4261,3.00,59.00,57.00,93.07,0.00,0.00,0.00,29.91,1013.00,8.00,null,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,59.00,KSBA 101153Z AUTO 00000KT 8SM OVC006 15/14 A2991 RMK AO2 SLP130 T01500139 10156 20139 56001 $,null
SBA,2025-06-10 05:53,-119.8436,34.4261,3.00,59.00,57.00,93.07,0.00,0.00,0.00,29.93,1013.40,7.00,null,OVC,null,null,null,500.00,null,null,null,null,null,null,null,null,null,null,59.00,KSBA 101253Z AUTO 00000KT 7SM OVC005 15/14 A2993 RMK AO2 SLP134 T01500139 $,null
SBA,2025-06-10 06:53,-119.8436,34.4261,3.00,58.00,56.00,93.04,10.00,5.00,0.00,29.95,1014.10,4.00,null,OVC,null,null,null,200.00,null,null,null,BR,null,null,null,null,null,null,58.00,KSBA 101353Z 01005KT 4SM BR OVC002 14/13 A2995 RMK AO2 SLP141 T01440133 $,null
SBA,2025-06-10 07:53,-119.8436,34.4261,3.00,59.00,57.00,93.07,80.00,4.00,0.00,29.96,1014.60,4.00,null,OVC,null,null,null,200.00,null,null,null,BR,null,null,null,null,null,null,59.00,KSBA 101453Z 08004KT 4SM BR OVC002 15/14 A2996 RMK AO2 SLP146 T01500139 53017 $,null
SBA,2025-06-10 08:53,-119.8436,34.4261,3.00,59.00,57.00,93.07,0.00,0.00,0.00,29.97,1014.90,4.00,null,OVC,null,null,null,400.00,null,null,null,BR,null,null,null,null,null,null,59.00,KSBA 101553Z 00000KT 4SM BR OVC004 15/14 A2997 RMK AO2 SLP149 T01500139 $,null
