Date,Time,Temperature ˚F
6/17/25,08:05:00,75
6/17/25,08:15:00,75
6/17/25,08:25:00,77
6/17/25,08:35:00,77
6/17/25,08:45:00,77
6/17/25,08:55:00,78
6/17/25,09:05:00,80
6/17/25,09:15:00,82
6/17/25,09:25:00,80
6/17/25,09:35:00,80
6/17/25,09:45:00,78
6/17/25,09:55:00,80
6/18/25,09:15:00,77
6/18/25,09:25:00,77
6/18/25,09:35:00,82
6/18/25,09:45:00,82
6/18/25,09:55:00,86
6/18/25,10:05:00,86
6/18/25,10:15:00,86
6/18/25,10:25:00,87
6/18/25,10:35:00,87
6/18/25,10:45:00,87
6/18/25,10:55:00,89
6/18/25,11:05:00,87
6/18/25,11:15:00,87
6/18/25,11:25:00,87
6/18/25,11:35:00,87
6/18/25,11:45:00,89
6/18/25,11:55:00,89
6/18/25,12:05:00,93
6/18/25,12:15:00,93
6/18/25,12:25:00,93
6/18/25,12:35:00,95
6/18/25,12:45:00,93
6/18/25,12:55:00,95
6/18/25,01:05:00,93
6/23/25,09:25:00,77
6/23/25,09:35:00,82
6/23/25,09:45:00,84
6/23/25,09:55:00,84
6/23/25,10:05:00,84
6/23/25,10:15:00,82
6/23/25,10:25:00,82
6/23/25,10:35:00,82
6/23/25,10:45:00,82
6/23/25,10:55:00,82
6/23/25,11:05:00,82
6/23/25,11:15:00,86
6/23/25,11:25:00,86
6/23/25,11:35:00,91
6/23/25,11:45:00,93
6/23/25,11:55:00,93
6/23/25,12:05:00,93
6/23/25,12:15:00,95
6/23/25,12:25:00,95
6/23/25,12:35:00,95
6/23/25,12:45:00,95
6/23/25,12:55:00,95
6/23/25,01:05:00,93
6/23/25,01:15:00,93
6/23/25,01:25:00,94
6/23/25,01:35:00,95
6/24/25,10:05:00,71
6/24/25,10:15:00,73
6/24/25,10:25:00,73
6/24/25,10:35:00,71
6/24/25,10:45:00,73
6/24/25,10:55:00,75
6/24/25,11:05:00,77
6/24/25,11:15:00,77
6/24/25,11:25:00,77
6/24/25,11:35:00,78
6/24/25,11:45:00,78
6/24/25,11:55:00,77
6/24/25,12:05:00,77
6/24/25,12:15:00,77
6/24/25,12:25:00,77
6/24/25,12:35:00,78
6/24/25,12:45:00,77
6/24/25,12:55:00,77
6/24/25,01:05:00,78
6/24/25,01:15:00,78
6/24/25,01:25:00,78
6/25/25,10:35:00,69
6/25/25,10:45:00,73
6/25/25,10:55:00,71
6/25/25,11:05:00,69
6/25/25,11:15:00,71
6/25/25,11:25:00,71
6/25/25,11:35:00,71
6/25/25,11:45:00,73
6/25/25,11:55:00,73
6/25/25,12:05:00,73
6/25/25,12:15:00,75
6/25/25,12:25:00,77
6/25/25,12:35:00,77
6/25/25,12:45:00,79
6/25/25,12:55:00,80
6/25/25,01:05:00,80
6/25/25,01:15:00,82
6/25/25,01:25:00,84
6/25/25,01:35:00,86
6/25/25,01:45:00,86
6/25/25,01:55:00,87
6/25/25,02:05:00,87
6/25/25,02:15:00,87
6/26/25,11:45:00,73
6/26/25,11:55:00,77
6/26/25,12:05:00,77
6/26/25,12:15:00,78
6/26/25,12:25:00,80
6/26/25,12:35:00,82
6/26/25,12:45:00,82
6/26/25,12:55:00,82
6/26/25,01:05:00,82
6/26/25,01:15:00,84
6/26/25,01:25:00,84
6/26/25,01:35:00,84
6/26/25,01:45:00,84
6/26/25,01:55:00,86
6/26/25,02:05:00,87
6/26/25,02:15:00,87
6/30/25,10:35:00,75
6/30/25,10:45:00,80
6/30/25,10:55:00,75
6/30/25,11:05:00,75
6/30/25,11:15:00,75
6/30/25,11:25:00,75
6/30/25,11:35:00,77
6/30/25,11:45:00,77
6/30/25,11:55:00,77
6/30/25,12:05:00,77
6/30/25,12:15:00,77
6/30/25,12:25:00,78
6/30/25,12:35:00,78
6/30/25,12:45:00,78
6/30/25,12:55:00,80
6/30/25,01:05:00,82
6/30/25,01:15:00,84
6/30/25,01:25:00,84
6/30/25,01:35:00,86
7/1/25,11:35:00,77
7/1/25,11:45:00,78
7/1/25,11:55:00,82
7/1/25,12:05:00,84
7/1/25,12:15:00,84
7/1/25,12:25:00,86
7/1/25,12:35:00,86
7/1/25,12:45:00,87
7/1/25,12:55:00,87
7/1/25,01:05:00,86
7/1/25,01:15:00,86
7/1/25,01:25:00,84
7/1/25,01:35:00,82
7/1/25,01:45:00,84
7/1/25,01:55:00,84
7/1/25,02:05:00,84
7/1/25,02:15:00,84
7/1/25,02:25:00,82
7/1/25,02:35:00,84
7/1/25,02:45:00,84
7/1/25,02:55:00,84
7/2/25,11:55:00,77
7/2/25,12:05:00,80
7/2/25,12:15:00,84
7/2/25,12:25:00,86
7/2/25,12:35:00,87
7/2/25,12:45:00,87
7/2/25,12:55:00,87
7/2/25,01:05:00,89
7/3/25,11:55:00,75
7/3/25,12:05:00,82
7/3/25,12:15:00,86
7/3/25,12:25:00,86
7/3/25,12:35:00,86
7/3/25,12:45:00,86
7/3/25,12:55:00,86
7/3/25,01:05:00,87
7/3/25,01:15:00,87
7/3/25,01:25:00,89
7/3/25,01:35:00,89
7/3/25,01:45:00,89
7/3/25,01:55:00,89
7/3/25,02:05:00,91
7/3/25,02:15:00,91
7/3/25,02:25:00,91
