Date,Time,Temperature F,Time_fixed
2025-06-17,08:05:00,75,08:05:00 AM
2025-06-17,08:15:00,75,08:15:00 AM
2025-06-17,08:25:00,77,08:25:00 AM
2025-06-17,08:35:00,77,08:35:00 AM
2025-06-17,08:45:00,77,08:45:00 AM
2025-06-17,08:55:00,78,08:55:00 AM
2025-06-17,09:05:00,80,09:05:00 AM
2025-06-17,09:15:00,82,09:15:00 AM
2025-06-17,09:25:00,80,09:25:00 AM
2025-06-17,09:35:00,80,09:35:00 AM
2025-06-17,09:45:00,78,09:45:00 AM
2025-06-17,09:55:00,80,09:55:00 AM
2025-06-18,09:15:00,77,09:15:00 AM
2025-06-18,09:25:00,77,09:25:00 AM
2025-06-18,09:35:00,82,09:35:00 AM
2025-06-18,09:45:00,82,09:45:00 AM
2025-06-18,09:55:00,86,09:55:00 AM
2025-06-18,10:05:00,86,10:05:00 AM
2025-06-18,10:15:00,86,10:15:00 AM
2025-06-18,10:25:00,87,10:25:00 AM
2025-06-18,10:35:00,87,10:35:00 AM
2025-06-18,10:45:00,87,10:45:00 AM
2025-06-18,10:55:00,89,10:55:00 AM
2025-06-18,11:05:00,87,11:05:00 AM
2025-06-18,11:15:00,87,11:15:00 AM
2025-06-18,11:25:00,87,11:25:00 AM
2025-06-18,11:35:00,87,11:35:00 AM
2025-06-18,11:45:00,89,11:45:00 AM
2025-06-18,11:55:00,89,11:55:00 AM
2025-06-18,12:05:00,93,12:05:00 PM
2025-06-18,12:15:00,93,12:15:00 PM
2025-06-18,12:25:00,93,12:25:00 PM
2025-06-18,12:35:00,95,12:35:00 PM
2025-06-18,12:45:00,93,12:45:00 PM
2025-06-18,12:55:00,95,12:55:00 PM
2025-06-18,01:05:00,93,01:05:00 PM
2025-06-23,09:25:00,77,09:25:00 AM
2025-06-23,09:35:00,82,09:35:00 AM
2025-06-23,09:45:00,84,09:45:00 AM
2025-06-23,09:55:00,84,09:55:00 AM
2025-06-23,10:05:00,84,10:05:00 AM
2025-06-23,10:15:00,82,10:15:00 AM
2025-06-23,10:25:00,82,10:25:00 AM
2025-06-23,10:35:00,82,10:35:00 AM
2025-06-23,10:45:00,82,10:45:00 AM
2025-06-23,10:55:00,82,10:55:00 AM
2025-06-23,11:05:00,82,11:05:00 AM
2025-06-23,11:15:00,86,11:15:00 AM
2025-06-23,11:25:00,86,11:25:00 AM
2025-06-23,11:35:00,91,11:35:00 AM
2025-06-23,11:45:00,93,11:45:00 AM
2025-06-23,11:55:00,93,11:55:00 AM
2025-06-23,12:05:00,93,12:05:00 PM
2025-06-23,12:15:00,95,12:15:00 PM
2025-06-23,12:25:00,95,12:25:00 PM
2025-06-23,12:35:00,95,12:35:00 PM
2025-06-23,12:45:00,95,12:45:00 PM
2025-06-23,12:55:00,95,12:55:00 PM
2025-06-23,01:05:00,93,01:05:00 PM
2025-06-23,01:15:00,93,01:15:00 PM
2025-06-23,01:25:00,94,01:25:00 PM
2025-06-23,01:35:00,95,01:35:00 PM
2025-06-24,10:05:00,71,10:05:00 AM
2025-06-24,10:15:00,73,10:15:00 AM
2025-06-24,10:25:00,73,10:25:00 AM
2025-06-24,10:35:00,71,10:35:00 AM
2025-06-24,10:45:00,73,10:45:00 AM
2025-06-24,10:55:00,75,10:55:00 AM
2025-06-24,11:05:00,77,11:05:00 AM
2025-06-24,11:15:00,77,11:15:00 AM
2025-06-24,11:25:00,77,11:25:00 AM
2025-06-24,11:35:00,78,11:35:00 AM
2025-06-24,11:45:00,78,11:45:00 AM
2025-06-24,11:55:00,77,11:55:00 AM
2025-06-24,12:05:00,77,12:05:00 PM
2025-06-24,12:15:00,77,12:15:00 PM
2025-06-24,12:25:00,77,12:25:00 PM
2025-06-24,12:35:00,78,12:35:00 PM
2025-06-24,12:45:00,77,12:45:00 PM
2025-06-24,12:55:00,77,12:55:00 PM
2025-06-24,01:05:00,78,01:05:00 PM
2025-06-24,01:15:00,78,01:15:00 PM
2025-06-24,01:25:00,78,01:25:00 PM
2025-06-25,10:35:00,69,10:35:00 AM
2025-06-25,10:45:00,73,10:45:00 AM
2025-06-25,10:55:00,71,10:55:00 AM
2025-06-25,11:05:00,69,11:05:00 AM
2025-06-25,11:15:00,71,11:15:00 AM
2025-06-25,11:25:00,71,11:25:00 AM
2025-06-25,11:35:00,71,11:35:00 AM
2025-06-25,11:45:00,73,11:45:00 AM
2025-06-25,11:55:00,73,11:55:00 AM
2025-06-25,12:05:00,73,12:05:00 PM
2025-06-25,12:15:00,75,12:15:00 PM
2025-06-25,12:25:00,77,12:25:00 PM
2025-06-25,12:35:00,77,12:35:00 PM
2025-06-25,12:45:00,79,12:45:00 PM
2025-06-25,12:55:00,80,12:55:00 PM
2025-06-25,01:05:00,80,01:05:00 PM
2025-06-25,01:15:00,82,01:15:00 PM
2025-06-25,01:25:00,84,01:25:00 PM
2025-06-25,01:35:00,86,01:35:00 PM
2025-06-25,01:45:00,86,01:45:00 PM
2025-06-25,01:55:00,87,01:55:00 PM
2025-06-25,02:05:00,87,02:05:00 PM
2025-06-25,02:15:00,87,02:15:00 PM
2025-06-26,11:45:00,73,11:45:00 AM
2025-06-26,11:55:00,77,11:55:00 AM
2025-06-26,12:05:00,77,12:05:00 PM
2025-06-26,12:15:00,78,12:15:00 PM
2025-06-26,12:25:00,80,12:25:00 PM
2025-06-26,12:35:00,82,12:35:00 PM
2025-06-26,12:45:00,82,12:45:00 PM
2025-06-26,12:55:00,82,12:55:00 PM
2025-06-26,01:05:00,82,01:05:00 PM
2025-06-26,01:15:00,84,01:15:00 PM
2025-06-26,01:25:00,84,01:25:00 PM
2025-06-26,01:35:00,84,01:35:00 PM
2025-06-26,01:45:00,84,01:45:00 PM
2025-06-26,01:55:00,86,01:55:00 PM
2025-06-26,02:05:00,87,02:05:00 PM
2025-06-26,02:15:00,87,02:15:00 PM
2025-06-30,10:35:00,75,10:35:00 AM
2025-06-30,10:45:00,80,10:45:00 AM
2025-06-30,10:55:00,75,10:55:00 AM
2025-06-30,11:05:00,75,11:05:00 AM
2025-06-30,11:15:00,75,11:15:00 AM
2025-06-30,11:25:00,75,11:25:00 AM
2025-06-30,11:35:00,77,11:35:00 AM
2025-06-30,11:45:00,77,11:45:00 AM
2025-06-30,11:55:00,77,11:55:00 AM
2025-06-30,12:05:00,77,12:05:00 PM
2025-06-30,12:15:00,77,12:15:00 PM
2025-06-30,12:25:00,78,12:25:00 PM
2025-06-30,12:35:00,78,12:35:00 PM
2025-06-30,12:45:00,78,12:45:00 PM
2025-06-30,12:55:00,80,12:55:00 PM
2025-06-30,01:05:00,82,01:05:00 PM
2025-06-30,01:15:00,84,01:15:00 PM
2025-06-30,01:25:00,84,01:25:00 PM
2025-06-30,01:35:00,86,01:35:00 PM
2025-07-01,11:35:00,77,11:35:00 AM
2025-07-01,11:45:00,78,11:45:00 AM
2025-07-01,11:55:00,82,11:55:00 AM
2025-07-01,12:05:00,84,12:05:00 PM
2025-07-01,12:15:00,84,12:15:00 PM
2025-07-01,12:25:00,86,12:25:00 PM
2025-07-01,12:35:00,86,12:35:00 PM
2025-07-01,12:45:00,87,12:45:00 PM
2025-07-01,12:55:00,87,12:55:00 PM
2025-07-01,01:05:00,86,01:05:00 PM
2025-07-01,01:15:00,86,01:15:00 PM
2025-07-01,01:25:00,84,01:25:00 PM
2025-07-01,01:35:00,82,01:35:00 PM
2025-07-01,01:45:00,84,01:45:00 PM
2025-07-01,01:55:00,84,01:55:00 PM
2025-07-01,02:05:00,84,02:05:00 PM
2025-07-01,02:15:00,84,02:15:00 PM
2025-07-01,02:25:00,82,02:25:00 PM
2025-07-01,02:35:00,84,02:35:00 PM
2025-07-01,02:45:00,84,02:45:00 PM
2025-07-01,02:55:00,84,02:55:00 PM
2025-07-02,11:55:00,77,11:55:00 AM
2025-07-02,12:05:00,80,12:05:00 PM
2025-07-02,12:15:00,84,12:15:00 PM
2025-07-02,12:25:00,86,12:25:00 PM
2025-07-02,12:35:00,87,12:35:00 PM
2025-07-02,12:45:00,87,12:45:00 PM
2025-07-02,12:55:00,87,12:55:00 PM
2025-07-02,01:05:00,89,01:05:00 PM
2025-07-03,11:55:00,75,11:55:00 AM
2025-07-03,12:05:00,82,12:05:00 PM
2025-07-03,12:15:00,86,12:15:00 PM
2025-07-03,12:25:00,86,12:25:00 PM
2025-07-03,12:35:00,86,12:35:00 PM
2025-07-03,12:45:00,86,12:45:00 PM
2025-07-03,12:55:00,86,12:55:00 PM
2025-07-03,01:05:00,87,01:05:00 PM
2025-07-03,01:15:00,87,01:15:00 PM
2025-07-03,01:25:00,89,01:25:00 PM
2025-07-03,01:35:00,89,01:35:00 PM
2025-07-03,01:45:00,89,01:45:00 PM
2025-07-03,01:55:00,89,01:55:00 PM
2025-07-03,02:05:00,91,02:05:00 PM
2025-07-03,02:15:00,91,02:15:00 PM
2025-07-03,02:25:00,91,02:25:00 PM
